名称,类型,默认显示,描述,表格类型
noncurrent_exint,float,Y,无息非流动负债,fina_indicator
interestdebt,float,Y,带息债务,fina_indicator
netdebt,float,Y,净债务,fina_indicator
tangible_asset,float,Y,有形资产,fina_indicator
working_capital,float,Y,营运资金,fina_indicator
networking_capital,float,Y,营运流动资本,fina_indicator
invest_capital,float,Y,全部投入资本,fina_indicator
retained_earnings,float,Y,留存收益,fina_indicator
diluted2_eps,float,Y,期末摊薄每股收益,fina_indicator
bps,float,Y,每股净资产,fina_indicator
ocfps,float,Y,每股经营活动产生的现金流量净额,fina_indicator
retainedps,float,Y,每股留存收益,fina_indicator
cfps,float,Y,每股现金流量净额,fina_indicator
ebit_ps,float,Y,每股息税前利润,fina_indicator
fcff_ps,float,Y,每股企业自由现金流量,fina_indicator
fcfe_ps,float,Y,每股股东自由现金流量,fina_indicator
netprofit_margin,float,Y,销售净利率,fina_indicator
grossprofit_margin,float,Y,销售毛利率,fina_indicator
cogs_of_sales,float,Y,销售成本率,fina_indicator
expense_of_sales,float,Y,销售期间费用率,fina_indicator
profit_to_gr,float,Y,净利润/营业总收入,fina_indicator
saleexp_to_gr,float,Y,销售费用/营业总收入,fina_indicator
adminexp_of_gr,float,Y,管理费用/营业总收入,fina_indicator
finaexp_of_gr,float,Y,财务费用/营业总收入,fina_indicator
impai_ttm,float,Y,资产减值损失/营业总收入,fina_indicator
gc_of_gr,float,Y,营业总成本/营业总收入,fina_indicator
op_of_gr,float,Y,营业利润/营业总收入,fina_indicator
ebit_of_gr,float,Y,息税前利润/营业总收入,fina_indicator
roe,float,Y,净资产收益率,fina_indicator
roe_waa,float,Y,加权平均净资产收益率,fina_indicator
roe_dt,float,Y,净资产收益率(扣除非经常损益),fina_indicator
roa,float,Y,总资产报酬率,fina_indicator
npta,float,Y,总资产净利润,fina_indicator
roic,float,Y,投入资本回报率,fina_indicator
roe_yearly,float,Y,年化净资产收益率,fina_indicator
roa2_yearly,float,Y,年化总资产报酬率,fina_indicator
roe_avg,float,N,平均净资产收益率(增发条件),fina_indicator
opincome_of_ebt,float,N,经营活动净收益/利润总额,fina_indicator
investincome_of_ebt,float,N,价值变动净收益/利润总额,fina_indicator
n_op_profit_of_ebt,float,N,营业外收支净额/利润总额,fina_indicator
tax_to_ebt,float,N,所得税/利润总额,fina_indicator
dtprofit_to_profit,float,N,扣除非经常损益后的净利润/净利润,fina_indicator
salescash_to_or,float,N,销售商品提供劳务收到的现金/营业收入,fina_indicator
ocf_to_or,float,N,经营活动产生的现金流量净额/营业收入,fina_indicator
ocf_to_opincome,float,N,经营活动产生的现金流量净额/经营活动净收益,fina_indicator
capitalized_to_da,float,N,资本支出/折旧和摊销,fina_indicator
debt_to_assets,float,Y,资产负债率,fina_indicator
assets_to_eqt,float,Y,权益乘数,fina_indicator
dp_assets_to_eqt,float,Y,权益乘数(杜邦分析),fina_indicator
ca_to_assets,float,Y,流动资产/总资产,fina_indicator
nca_to_assets,float,Y,非流动资产/总资产,fina_indicator
tbassets_to_totalassets,float,Y,有形资产/总资产,fina_indicator
